,kingdom,btk,phylum,btp,class,btc,order,bto,family,btf,genus,btg,abundance
Otu00001,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Ilumatobacteraceae,100,Ilumatobacter,100,196296
Otu00002,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Ilumatobacteraceae,100,Ilumatobacter,100,106314
Otu00003,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Tateyamaria,100,102102
Otu00004,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,uncultured,100,94584
Otu00005,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Methyloligellaceae,100,Methyloceanibacter,100,93339
Otu00006,Bacteria,100,Cyanobacteria,100,Cyanobacteriia,100,Synechococcales,100,Cyanobiaceae,100,Synechococcus_CC9902,100,91060
Otu00008,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,PeM15,100,PeM15_fa,100,PeM15_ge,100,59190
Otu00009,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Diplorickettsiales,100,Diplorickettsiaceae,100,Rickettsiella,100,51567
Otu00010,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,51530
Otu00011,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,Rubritaleaceae,100,Rubritalea,100,47808
Otu00012,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Chthoniobacterales,100,Chthoniobacteraceae,100,Chthoniobacteraceae_ge,100,41241
Otu00013,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Enterobacterales,100,Vibrionaceae,100,Enterovibrio,87,39652
Otu00014,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Rhodobacteraceae_unclassified,100,36240
Otu00015,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Hyphomicrobiaceae,100,Filomicrobium,100,36007
Otu00016,Bacteria,100,Firmicutes,100,Bacilli,100,Lactobacillales,100,Lactobacillales_unclassified,100,Lactobacillales_unclassified,100,35877
Otu00017,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rubripirellula,100,35078
Otu00018,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Actinomarinales,100,uncultured,100,uncultured_ge,100,33081
Otu00019,Bacteria,100,Desulfobacterota,100,Desulfovibrionia,100,Desulfovibrionales,100,Desulfovibrionaceae,100,uncultured,100,30705
Otu00020,Bacteria,100,Actinobacteriota,100,Thermoleophilia,100,Solirubrobacterales,100,67-14,100,67-14_ge,100,29992
Otu00021,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Hyphomicrobiaceae,100,Filomicrobium,100,29971
Otu00022,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Actinomarinales,100,uncultured,100,uncultured_ge,100,29914
Otu00023,Bacteria,100,Firmicutes,100,Bacilli,100,Mycoplasmatales,100,Mycoplasmataceae,100,uncultured,100,29767
Otu00024,Bacteria,100,Chloroflexi,100,KD4-96,100,KD4-96_or,100,KD4-96_fa,100,KD4-96_ge,100,27557
Otu00026,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Legionellales,100,Legionellaceae,100,uncultured,100,27339
Otu00027,Bacteria,100,Firmicutes,100,Bacilli,100,Erysipelotrichales,100,Erysipelotrichaceae,100,Breznakia,100,24428
Otu00028,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,23960
Otu00029,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,23241
Otu00030,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Rhizobiaceae,100,Pseudahrensia,100,23118
Otu00031,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Actinomarinales,100,uncultured,100,uncultured_ge,100,23036
Otu00032,Bacteria,100,Desulfobacterota,100,Desulfobulbia,100,Desulfobulbales,100,Desulfocapsaceae,100,uncultured,100,22877
Otu00033,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pir4_lineage,100,22556
Otu00034,Bacteria,100,Firmicutes,100,Bacilli,100,Mycoplasmatales,100,Mycoplasmataceae,100,Mycoplasma,100,22179
Otu00035,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Rhodobacteraceae_unclassified,100,22104
Otu00036,Bacteria,100,Actinobacteriota,100,Thermoleophilia,100,Gaiellales,100,uncultured,100,uncultured_ge,100,21405
Otu00038,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,uncultured,100,uncultured_ge,100,20928
Otu00039,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Micromonosporales,100,Micromonosporaceae,100,Micromonospora,100,20629
Otu00040,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Rhodobacteraceae_unclassified,56,20478
Otu00041,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,PeM15,100,PeM15_fa,100,PeM15_ge,100,20417
Otu00042,Bacteria,100,Firmicutes,100,Bacilli,100,Lactobacillales,100,Catellicoccaceae,100,Catellicoccus,100,20390
Otu00043,Bacteria,100,Acidobacteriota,100,Thermoanaerobaculia,100,Thermoanaerobaculales,100,Thermoanaerobaculaceae,100,Subgroup_10,100,18540
Otu00044,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Parvibaculales,100,PS1_clade,100,PS1_clade_ge,100,18344
Otu00045,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Burkholderiales,100,Oxalobacteraceae,100,Massilia,97,18253
Otu00046,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Acidimicrobiia_unclassified,100,Acidimicrobiia_unclassified,100,Acidimicrobiia_unclassified,100,17431
Otu00047,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,17286
Otu00048,Bacteria,100,Firmicutes,100,Bacilli,100,Mycoplasmatales,100,Mycoplasmataceae,100,Mycoplasma,100,16322
Otu00050,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Rhizobiaceae,100,Pseudahrensia,100,16303
Otu00051,Bacteria,100,Actinobacteriota,100,Thermoleophilia,100,Gaiellales,100,uncultured,100,uncultured_ge,100,15784
Otu00052,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Sulfitobacter,98,15763
Otu00053,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Hyphomicrobiaceae,100,Filomicrobium,100,15551
Otu00054,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Enterobacterales,100,Shewanellaceae,100,Shewanella,100,14498
Otu00055,Bacteria,100,Acidobacteriota,100,Thermoanaerobaculia,100,Thermoanaerobaculales,100,Thermoanaerobaculaceae,100,Subgroup_10,100,14303
Otu00056,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pir4_lineage,100,13404
Otu00057,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Hyphomicrobiaceae,100,uncultured,100,13281
Otu00058,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Legionellales,100,Legionellaceae,100,uncultured,100,12958
Otu00059,Bacteria,100,Chloroflexi,100,KD4-96,100,KD4-96_or,100,KD4-96_fa,100,KD4-96_ge,100,12924
Otu00060,Bacteria,100,Firmicutes,100,Bacilli,100,Staphylococcales,100,Staphylococcaceae,100,Staphylococcus,100,12778
Otu00061,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,12623
Otu00062,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Flavobacteriales,100,Flavobacteriaceae,100,Lutimonas,97,12421
Otu00063,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,Rubritaleaceae,100,Persicirhabdus,100,12341
Otu00064,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Corynebacteriales,100,Mycobacteriaceae,100,Mycobacterium,100,12105
Otu00065,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,11995
Otu00066,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pirellulaceae_unclassified,87,11989
Otu00067,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Flavobacteriales,100,Weeksellaceae,100,Cloacibacterium,100,11989
Otu00068,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Burkholderiales,100,Alcaligenaceae,100,Alcaligenaceae_unclassified,100,11424
Otu00069,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcales-Tissierellales_fa,100,Anaeromicrobium,100,11290
Otu00070,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Diplorickettsiales,100,Diplorickettsiaceae,100,Rickettsiella,100,11209
Otu00071,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,10910
Otu00072,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Moraxellaceae,100,Psychrobacter,100,10820
Otu00073,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,uncultured,98,10723
Otu00074,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,Candidatus_Arthromitus,100,10582
Otu00075,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,10268
Otu00076,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Halieaceae,100,Halieaceae_unclassified,64,10207
Otu00078,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rubripirellula,91,10105
Otu00079,Bacteria,100,Chloroflexi,100,KD4-96,100,KD4-96_or,100,KD4-96_fa,100,KD4-96_ge,100,9842
Otu00080,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Halieaceae,100,Halioglobus,100,9767
Otu00081,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,PeM15,100,PeM15_fa,100,PeM15_ge,100,9626
Otu00082,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Corynebacteriales,100,Mycobacteriaceae,100,Mycobacterium,100,9426
Otu00083,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Micrococcales,100,Intrasporangiaceae,100,Ornithinimicrobium,100,9234
Otu00084,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Endozoicomonadaceae,100,Endozoicomonas,100,9089
Otu00085,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcaceae,100,Romboutsia,96,8393
Otu00086,Bacteria,100,Spirochaetota,100,Brevinematia,100,Brevinematales,100,Brevinemataceae,100,Brevinema,100,8338
Otu00087,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,Oceanirhabdus,96,8275
Otu00088,Bacteria,100,Deinococcota,100,Deinococci,100,Deinococcales,100,Deinococcaceae,100,Deinococcus,100,7821
Otu00089,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,Sva0996_marine_group,100,7646
Otu00091,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Ectothiorhodospirales,100,Ectothiorhodospiraceae,100,Thiogranum,100,7304
Otu00092,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,IMCC26207,100,7127
Otu00093,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Ilumatobacteraceae,100,Ilumatobacter,100,6952
Otu00094,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,B2M28,100,B2M28_fa,100,B2M28_ge,100,6777
Otu00095,Bacteria,100,Myxococcota,100,Polyangia,100,Polyangiales,100,Sandaracinaceae,100,uncultured,100,6770
Otu00096,Bacteria,100,Chloroflexi,100,Anaerolineae,100,Caldilineales,100,Caldilineaceae,100,uncultured,100,6608
Otu00097,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pirellulaceae_unclassified,100,6566
Otu00098,Bacteria,100,Firmicutes,100,Clostridia,100,Lachnospirales,100,Lachnospirales_unclassified,100,Lachnospirales_unclassified,100,6566
Otu00099,Bacteria,100,Patescibacteria,100,Saccharimonadia,100,Saccharimonadales,100,Saccharimonadales_fa,100,Saccharimonadales_ge,100,6399
Otu00100,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,6272
Otu00101,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Moraxellaceae,100,Enhydrobacter,100,6138
Otu00102,Bacteria,100,Deinococcota,100,Deinococci,100,Thermales,100,Thermaceae,100,Meiothermus,100,6124
Otu00103,Bacteria,100,Acidobacteriota,100,Vicinamibacteria,100,Subgroup_17,100,Subgroup_17_fa,100,Subgroup_17_ge,100,6108
Otu00104,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,Verrucomicrobiales_unclassified,100,Verrucomicrobiales_unclassified,100,6074
Otu00105,Bacteria,100,Firmicutes,100,Bacilli,100,Izemoplasmatales,100,Izemoplasmatales_fa,100,Izemoplasmatales_ge,100,6010
Otu00106,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,uncultured,100,6003
Otu00107,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,82,5747
Otu00108,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Planctomycetales,100,Rubinisphaeraceae,100,uncultured,100,5731
Otu00109,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,uncultured,100,5687
Otu00110,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Sphingomonadales,100,Sphingomonadaceae,100,Sphingomonas,98,5655
Otu00111,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Enterobacterales,100,Moritellaceae,100,Moritella,100,5591
Otu00112,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Corynebacteriales,100,Corynebacteriaceae,100,Corynebacterium,100,5578
Otu00113,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Rhodobacteraceae_unclassified,81,5356
Otu00114,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Bythopirellula,100,5344
Otu00115,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Nitrosococcales,100,Nitrosococcaceae,100,SZB85,100,5291
Otu00116,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcaceae,100,Tepidibacter,99,5268
Otu00117,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Micrococcales,100,Micrococcales_Incertae_Sedis,100,Timonella,100,5222
Otu00118,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Micrococcales,100,Micrococcaceae,100,Kocuria,100,5178
Otu00119,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pir4_lineage,100,5161
Otu00120,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,Rubritaleaceae,100,Persicirhabdus,100,5146
Otu00121,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Burkholderiales,100,Nitrosomonadaceae,100,Nitrosomonas,100,5138
Otu00122,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Rhizobiaceae,100,Rhizobiaceae_unclassified,92,5131
Otu00123,Bacteria,100,Firmicutes,100,Bacilli,100,Bacillales,100,Bacillaceae,100,Geobacillus,100,5067
Otu00124,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Rhizobiales_unclassified,100,Rhizobiales_unclassified,100,5062
Otu00125,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Moraxellaceae,100,Psychrobacter,100,5022
Otu00126,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Burkholderiales,100,Comamonadaceae,100,Ramlibacter,61,5008
Otu00127,Bacteria,100,Bacteria_unclassified,100,Bacteria_unclassified,100,Bacteria_unclassified,100,Bacteria_unclassified,100,Bacteria_unclassified,100,4979
Otu00128,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Actinomarinales,100,uncultured,100,uncultured_ge,100,4970
Otu00129,Bacteria,100,Firmicutes,100,Bacilli,100,Mycoplasmatales,100,Mycoplasmataceae,100,Candidatus_Bacilloplasma,100,4968
Otu00130,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Rhodobacteraceae_unclassified,64,4910
Otu00131,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,Rubritaleaceae,100,Luteolibacter,100,4905
Otu00132,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Pir4_lineage,99,4899
Otu00133,Bacteria,100,Verrucomicrobiota,100,Verrucomicrobiae,100,Verrucomicrobiales,100,Rubritaleaceae,100,Luteolibacter,100,4879
Otu00134,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,Sva0996_marine_group,100,4877
Otu00135,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Planctomycetales,100,Gimesiaceae,100,Gimesia,100,4841
Otu00136,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,4824
Otu00137,Bacteria,100,Firmicutes,100,Bacilli,100,Mycoplasmatales,100,Mycoplasmataceae,100,Mycoplasma,100,4806
Otu00138,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Halieaceae,100,OM60_NOR5_clade,80,4800
Otu00139,Bacteria,100,Cyanobacteria,100,Cyanobacteriia,100,Cyanobacteriia_unclassified,100,Cyanobacteriia_unclassified,100,Cyanobacteriia_unclassified,100,4796
Otu00140,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,4735
Otu00141,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,100,4714
Otu00142,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Legionellales,100,Legionellaceae,100,Legionella,100,4677
Otu00143,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,4642
Otu00144,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Sphingobacteriales,100,Sphingobacteriaceae,100,Sphingobacterium,100,4636
Otu00145,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Pseudomonadaceae,100,Pseudomonas,100,4591
Otu00146,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Actinomarinales,100,uncultured,100,uncultured_ge,100,4527
Otu00147,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Moraxellaceae,100,Acinetobacter,100,4432
Otu00148,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,4429
Otu00149,Bacteria,100,Desulfobacterota,100,Desulfobacteria,100,Desulfobacterales,100,Desulfosarcinaceae,100,Sva0081_sediment_group,100,4358
Otu00150,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,4270
Otu00151,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,4232
Otu00152,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcaceae,100,Paeniclostridium,52,4154
Otu00153,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Sphingobacteriales,100,Sphingobacteriaceae,100,Pedobacter,100,4139
Otu00154,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Rhizobiales_unclassified,100,Rhizobiales_unclassified,100,4139
Otu00155,Bacteria,100,Firmicutes,100,Bacilli,100,Lactobacillales,100,Aerococcaceae,100,Aerococcus,100,4035
Otu00156,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Blastopirellula,100,4008
Otu00157,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,uncultured,99,4000
Otu00158,Bacteria,100,Firmicutes,100,Bacilli,100,Thermicanales,100,Thermicanaceae,100,Thermicanus,100,3986
Otu00159,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Burkholderiales,100,Comamonadaceae,100,Tepidimonas,100,3982
Otu00160,Bacteria,100,Verrucomicrobiota,100,Chlamydiae,100,Chlamydiales,100,Chlamydiaceae,100,Chlamydiaceae_unclassified,98,3977
Otu00161,Bacteria,100,Firmicutes,100,Bacilli,100,Bacilli_unclassified,100,Bacilli_unclassified,100,Bacilli_unclassified,100,3955
Otu00162,Bacteria,100,Actinobacteriota,100,Thermoleophilia,100,Gaiellales,100,Gaiellales_unclassified,100,Gaiellales_unclassified,100,3898
Otu00163,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,uncultured,100,3873
Otu00164,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Legionellales,100,Legionellaceae,100,uncultured,100,3856
Otu00165,Bacteria,100,Chloroflexi,100,Anaerolineae,100,Caldilineales,100,Caldilineaceae,100,uncultured,100,3836
Otu00166,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Arenicellales,100,Arenicellaceae,100,Candidatus_Thiosymbion,100,3826
Otu00167,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,Sva0996_marine_group,100,3796
Otu00168,Bacteria,100,Firmicutes,100,Bacilli,100,Mycoplasmatales,100,Mycoplasmataceae,100,Mycoplasmataceae_unclassified,100,3783
Otu00169,Bacteria,100,Dependentiae,100,Babeliae,100,Babeliales,100,Babeliaceae,100,Babeliaceae_ge,100,3668
Otu00170,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Cytophagales,100,Spirosomaceae,100,Spirosoma,100,3655
Otu00171,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Sphingomonadales,100,Sphingomonadaceae,100,Sphingobium,97,3640
Otu00172,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Flavobacteriales,100,Flavobacteriaceae,100,Pseudofulvibacter,100,3571
Otu00173,Bacteria,100,Firmicutes,100,Clostridia,100,Peptostreptococcales-Tissierellales,100,Peptostreptococcales-Tissierellales_fa,100,Peptostreptococcales-Tissierellales_fa_unclassified,100,3563
Otu00174,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,Actinobacteria_unclassified,100,3546
Otu00175,Bacteria,100,Firmicutes,100,Bacilli,100,Mycoplasmatales,100,Mycoplasmataceae,100,Candidatus_Bacilloplasma,100,3520
Otu00177,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,3446
Otu00178,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Rhizobiales_Incertae_Sedis,100,Phreatobacter,100,3445
Otu00179,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodobacterales,100,Rhodobacteraceae,100,Thalassobius,73,3434
Otu00180,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Legionellales,100,Legionellaceae,100,Legionella,100,3409
Otu00181,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Bifidobacteriales,100,Bifidobacteriaceae,100,Gardnerella,100,3406
Otu00182,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Pseudomonadales,100,Pseudomonadaceae,100,Pseudomonas,100,3377
Otu00183,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Methyloligellaceae,100,Methyloceanibacter,100,3336
Otu00184,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Legionellales,100,Legionellaceae,100,Legionella,100,3330
Otu00185,Bacteria,100,Chloroflexi,100,Anaerolineae,100,Anaerolineales,100,Anaerolineaceae,100,uncultured,100,3323
Otu00186,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Corynebacteriales,100,Dietziaceae,100,Dietzia,100,3320
Otu00187,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,HOC36,100,HOC36_fa,100,HOC36_ge,100,3270
Otu00188,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,Clostridium_sensu_stricto_1,100,3254
Otu00189,Bacteria,100,Firmicutes,100,Bacilli,100,Bacillales,100,Bacillales_unclassified,100,Bacillales_unclassified,100,3242
Otu00190,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhodospirillales,100,Terasakiellaceae,100,uncultured,100,3229
Otu00191,Bacteria,100,Planctomycetota,100,OM190,100,OM190_or,100,OM190_fa,100,OM190_ge,100,3201
Otu00192,Bacteria,100,Verrucomicrobiota,100,Chlamydiae,100,Chlamydiales,100,Chlamydiales_unclassified,100,Chlamydiales_unclassified,100,3188
Otu00193,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Sphingomonadales,100,Sphingomonadaceae,100,Sphingomonas,55,3167
Otu00194,Bacteria,100,Chloroflexi,100,Anaerolineae,100,Caldilineales,100,Caldilineaceae,100,uncultured,100,3164
Otu00195,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Rhizobiaceae,100,Pseudahrensia,89,3155
Otu00196,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridiales,100,Clostridiaceae,100,Clostridiaceae_unclassified,87,3150
Otu00197,Bacteria,100,Halanaerobiaeota,100,Halanaerobiia,100,Halanaerobiales,100,Halanaerobiaceae,100,Halocella,100,3137
Otu00198,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Rhizobiales,100,Hyphomicrobiaceae,100,uncultured,95,3053
Otu00199,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,Alphaproteobacteria_unclassified,100,3042
Otu00200,Bacteria,100,Modulibacteria,100,Moduliflexia,100,Moduliflexales,100,Moduliflexaceae,100,Moduliflexaceae_ge,100,3029
